decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
merge,same physical object evidence accepted,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0001 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0003,9978d2a2-6017-5348-b3e4-54318380a8f0 | 2f31120a-78f3-5941-bdb0-10e521d54923,cardboard | plastic,"[[""1""], [""10"", ""23""]]",,appearance unavailable,False,0,,,0.3191,0.1829,True,0.1829,0.1785,0.1783,0.3429,0.6213,2f31120a-78f3-5941-bdb0-10e521d54923
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,"[[""11""], [""28"", ""33"", ""46""]]",0.5899,appearance compared successfully,False,0,,,0.1156,0.2477,True,0.2477,0.1814,0.5144,0.5501,0.8899,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""11""], [""35"", ""37""]]",0.6178,appearance compared successfully,False,0,,,0.4758,0.63,True,0.63,0.0,0.2035,0.7059,0.889,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""11""], [""38"", ""39""]]",0.6042,appearance compared successfully,False,0,,,0.1297,0.2294,True,0.2294,0.286,0.4868,0.5559,0.0803,
separate,temporal gap 95 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0004 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,4d2f42ba-27c6-515e-a89e-5c51463b80a9 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""11""], [""40""]]",0.6061,appearance compared successfully,False,0,,,0.1003,0.4863,True,0.4863,0.1413,0.3332,0.6144,0.5804,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 16c70c74-caab-5a7f-af06-6b71a5a4855a,cardboard | plastic,"[[""12"", ""13""], [""22""]]",0.6691,appearance compared successfully,False,0,,,0.1744,0.2672,True,0.2672,0.0218,0.3024,0.9905,0.4017,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,cardboard | cardboard,"[[""12"", ""13""], [""26"", ""42""]]",0.5996,appearance compared successfully,False,0,,,0.8443,1.0179,True,1.0179,0.0,0.6273,0.984,0.9999,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,"[[""12"", ""13""], [""28"", ""33"", ""46""]]",0.5725,appearance compared successfully,False,0,,,0.6076,0.8215,True,0.8215,0.0,0.8026,0.6575,0.4132,
separate,weak fragment lacks bridge evidence,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,0e73ec90-0d86-58d3-ae3b-15c0b901852a | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,"[[""12"", ""13""], [""35"", ""37""]]",0.5925,appearance compared successfully,False,0,,,0.8557,1.1402,True,1.1402,0.0,0.2677,0.5906,0.4017,
separate,temporal gap 96 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,"[[""12"", ""13""], [""38"", ""39""]]",0.5824,appearance compared successfully,False,0,,,0.356,0.8087,True,0.8087,0.0,0.7695,0.6644,0.9158,
separate,temporal gap 107 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,0e73ec90-0d86-58d3-ae3b-15c0b901852a | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,"[[""12"", ""13""], [""40""]]",0.6021,appearance compared successfully,False,0,,,0.5793,1.0623,True,1.0623,0.0,0.5268,0.7343,0.9792,
separate,simultaneous low-IoU boxes for 16 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,16c70c74-caab-5a7f-af06-6b71a5a4855a | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,"[[""22""], [""26"", ""42""]]",0.4805,appearance compared successfully,True,16,0.0,0.0,0.7729,0.7302,True,0.7302,0.0,0.4344,0.9934,0.4123,
separate,temporal overlap 7 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,16c70c74-caab-5a7f-af06-6b71a5a4855a | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,"[[""22""], [""28"", ""33"", ""46""]]",0.5004,appearance compared successfully,True,7,0.0,0.0,0.5399,0.5432,True,0.5432,0.0,0.2448,0.6637,0.9999,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,16c70c74-caab-5a7f-af06-6b71a5a4855a | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""22""], [""38"", ""39""]]",0.4883,appearance compared successfully,False,0,,,0.3109,0.5333,True,0.5333,0.0,0.2647,0.6708,0.0,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,16c70c74-caab-5a7f-af06-6b71a5a4855a | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""22""], [""40""]]",0.4967,appearance compared successfully,False,0,,,0.5149,0.7754,True,0.7754,0.0,0.4274,0.7413,0.5792,
separate,simultaneous low-IoU boxes for 135 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,"[[""26"", ""42""], [""28"", ""33"", ""46""]]",0.7105,appearance compared successfully,True,135,0.0841,0.0029,0.1672,0.2634,True,0.2634,0.1505,0.5634,0.6681,0.4238,
separate,simultaneous low-IoU boxes for 106 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,"[[""26"", ""42""], [""35"", ""37""]]",0.4822,appearance compared successfully,True,106,0.0508,0.0045,0.5314,0.3472,True,0.3472,0.0,0.3814,0.5812,0.4123,
separate,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,"[[""26"", ""42""], [""38"", ""39""]]",0.7114,appearance compared successfully,True,8,0.0,0.0,0.1525,0.277,True,0.277,0.2764,0.6094,0.6752,0.911,
separate,simultaneous low-IoU boxes for 106 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,1dea76dd-dad1-5662-89fb-610ee65f1e31 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""28"", ""33"", ""46""], [""35"", ""37""]]",0.5007,appearance compared successfully,True,106,0.0186,0.0004,0.6929,0.4214,True,0.4214,0.0,0.2149,0.3883,0.9999,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,1dea76dd-dad1-5662-89fb-610ee65f1e31 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""28"", ""33"", ""46""], [""40""]]",0.7263,appearance compared successfully,True,5,0.0,0.0,0.3772,0.2588,True,0.2588,0.0,0.5727,0.8953,0.5894,
separate,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,e76a7eb7-78f4-51cb-9b45-8e2136a6769b | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""35"", ""37""], [""38"", ""39""]]",0.5034,appearance compared successfully,True,8,0.0,0.0,0.5555,0.7172,True,0.7172,0.0,0.2324,0.3924,0.0,
separate,appearance differs,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,e76a7eb7-78f4-51cb-9b45-8e2136a6769b | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""35"", ""37""], [""40""]]",0.3988,appearance compared successfully,True,5,0.0,0.0,0.4028,0.5086,True,0.5086,0.0,0.3752,0.4337,0.5792,
