decision,final_reason,object_ids,scan_ids,categories,source_track_ids,appearance_score,appearance_status,simultaneously_visible,overlap_frames,overlapping_frame_iou_max,overlapping_frame_iou_avg,raw_trajectory_distance,stabilized_trajectory_distance,stabilized_coordinates_used,trajectory_distance,iou,size_ratio,aspect_ratio,class_vote_similarity,canonical_scan_id
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,cardboard | cardboard,"[[""12"", ""13""], [""26"", ""42""]]",0.6098,appearance compared successfully,False,0,,,0.8733,1.0426,True,1.0426,0.0,0.6273,0.984,0.9999,
separate,trajectory discontinuity,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,"[[""12"", ""13""], [""28"", ""33"", ""46""]]",0.578,appearance compared successfully,False,0,,,0.6437,0.8588,True,0.8588,0.0,0.8026,0.6575,0.4132,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,0e73ec90-0d86-58d3-ae3b-15c0b901852a | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,"[[""12"", ""13""], [""35"", ""37""]]",0.6153,appearance compared successfully,False,0,,,0.8699,1.1813,True,1.1813,0.0,0.2677,0.5906,0.4017,
separate,temporal gap 96 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,0e73ec90-0d86-58d3-ae3b-15c0b901852a | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,"[[""12"", ""13""], [""38"", ""39""]]",0.5864,appearance compared successfully,False,0,,,0.3948,0.8659,True,0.8659,0.0,0.7695,0.6644,0.9158,
separate,temporal gap 107 exceeds 90,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0005 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,0e73ec90-0d86-58d3-ae3b-15c0b901852a | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,"[[""12"", ""13""], [""40""]]",0.6043,appearance compared successfully,False,0,,,0.6114,1.1233,True,1.1233,0.0,0.5268,0.7343,0.9792,
separate,simultaneous low-IoU boxes for 16 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007,16c70c74-caab-5a7f-af06-6b71a5a4855a | 9e371ee9-be8d-5636-9889-071ffa3f4cc4,plastic | cardboard,"[[""22""], [""26"", ""42""]]",0.5043,appearance compared successfully,True,16,0.0,0.0,0.7988,0.7218,True,0.7218,0.0,0.4344,0.9934,0.4123,
separate,temporal overlap 7 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,16c70c74-caab-5a7f-af06-6b71a5a4855a | 1dea76dd-dad1-5662-89fb-610ee65f1e31,plastic | plastic,"[[""22""], [""28"", ""33"", ""46""]]",0.5088,appearance compared successfully,True,7,0.0,0.0,0.5767,0.546,True,0.546,0.0,0.2448,0.6637,0.9999,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,16c70c74-caab-5a7f-af06-6b71a5a4855a | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""22""], [""35"", ""37""]]",0.8218,appearance compared successfully,False,0,,,0.7397,0.8334,True,0.8334,0.0,0.6652,0.585,1.0,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,16c70c74-caab-5a7f-af06-6b71a5a4855a | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""22""], [""38"", ""39""]]",0.5017,appearance compared successfully,False,0,,,0.3483,0.5568,True,0.5568,0.0,0.2647,0.6708,0.0,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0006 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,16c70c74-caab-5a7f-af06-6b71a5a4855a | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""22""], [""40""]]",0.5007,appearance compared successfully,False,0,,,0.5438,0.8017,True,0.8017,0.0,0.4274,0.7413,0.5792,
separate,simultaneous low-IoU boxes for 135 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | 1dea76dd-dad1-5662-89fb-610ee65f1e31,cardboard | plastic,"[[""26"", ""42""], [""28"", ""33"", ""46""]]",0.7181,appearance compared successfully,True,135,0.0841,0.0029,0.188,0.2987,True,0.2987,0.1505,0.5634,0.6681,0.4238,
separate,simultaneous low-IoU boxes for 106 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,cardboard | plastic,"[[""26"", ""42""], [""35"", ""37""]]",0.4914,appearance compared successfully,True,106,0.0508,0.0045,0.5384,0.3614,True,0.3614,0.0,0.3814,0.5812,0.4123,
separate,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0007 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,9e371ee9-be8d-5636-9889-071ffa3f4cc4 | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,cardboard | cardboard,"[[""26"", ""42""], [""38"", ""39""]]",0.7164,appearance compared successfully,True,8,0.0,0.0,0.1539,0.2887,True,0.2887,0.2764,0.6094,0.6752,0.911,
separate,simultaneous low-IoU boxes for 106 frames,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009,1dea76dd-dad1-5662-89fb-610ee65f1e31 | e76a7eb7-78f4-51cb-9b45-8e2136a6769b,plastic | plastic,"[[""28"", ""33"", ""46""], [""35"", ""37""]]",0.503,appearance compared successfully,True,106,0.0186,0.0004,0.6965,0.4122,True,0.4122,0.0,0.2149,0.3883,0.9999,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0008 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,1dea76dd-dad1-5662-89fb-610ee65f1e31 | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""28"", ""33"", ""46""], [""40""]]",0.732,appearance compared successfully,True,5,0.0,0.0,0.3933,0.2553,True,0.2553,0.0,0.5727,0.8953,0.5894,
separate,temporal overlap 8 exceeds 5,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010,e76a7eb7-78f4-51cb-9b45-8e2136a6769b | 5c409e53-6f25-5f9a-a851-aa8aa7cce794,plastic | cardboard,"[[""35"", ""37""], [""38"", ""39""]]",0.5046,appearance compared successfully,True,8,0.0,0.0,0.5662,0.7357,True,0.7357,0.0,0.2324,0.3924,0.0,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0009 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,e76a7eb7-78f4-51cb-9b45-8e2136a6769b | bdc32c7f-2040-5063-85fc-f582b42bff6e,plastic | cardboard,"[[""35"", ""37""], [""40""]]",0.3996,appearance compared successfully,True,5,0.0,0.0,0.4141,0.5223,True,0.5223,0.0,0.3752,0.4337,0.5792,
separate,size/aspect mismatch,aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0010 | aa894e58-e4d8-446a-a5f0-69b0600d03a1-object-0011,5c409e53-6f25-5f9a-a851-aa8aa7cce794 | bdc32c7f-2040-5063-85fc-f582b42bff6e,cardboard | cardboard,"[[""38"", ""39""], [""40""]]",0.7229,appearance compared successfully,False,0,,,0.2459,0.2603,True,0.2603,0.0,0.6195,0.9048,0.8152,
